freq,unit,sex,geo\TIME_PERIOD	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,PC,F,AT	13.4 s	14.3 s	17.1 	15.7 s	18.4 	20.4 	20.3 	19.0 b
A,PC,F,BE	15.2 	15.1 	14.1 	15.6 b	16.8 	17.2 s	17.4 	19.6 b
A,PC,F,BG	31.2 s	30.6 s	28.7 s	28.9 s	29.7 s	28.1 	28.2 	28.2 b
A,PC,F,CH	13.8 s	14.2 	15.0 	15.2 	14.5 	16.6 s	16.3 s	16.3 b
A,PC,F,CY	15.9 s	20.8 s	23.7 s	18.2 s	18.8 s	19.2 s	18.2 s	19.3 bs
A,PC,F,CZ	9.9 s	9.8 s	10.0 s	10.1 	9.7 	10.2 s	10.3 	10.0 b
A,PC,F,DE	16.5 	16.3 	16.6 	16.6 	16.8 	16.8 	17.6 b	19.0 b
A,PC,F,DK	18.2 s	20.4 s	21.1 bs	20.3 bs	20.5 s	21.6 s	23.0 s	22.9 bs
A,PC,F,EE	19.4 s	22.4 s	20.5 s	20.3 s	22.5 	23.8 s	22.7 s	22.6 bs
A,PC,F,EL	21.6 s	18.2 s	17.8 s	15.8 s	15.9 s	20.7 s	27.7 s	21.0 b
A,PC,F,ES	18.4 s	18.1 s	17.4 s	16.7 s	17.5 s	19.2 s	19.3 s	19.4 bd
A,PC,F,EU27_2020	16.3 s	16.5 s	17.0 s	17.2 s	17.2 s	17.8 s	18.5 s	19.1 bs
A,PC,F,FI	20.8 	22.3 	21.0 	20.4 	19.9 	21.1 	23.3 	23.9 b
A,PC,F,FR	16.9 b	15.8 	17.6 	18.5 	19.2 	19.7 	20.1 	20.9 bd
A,PC,F,HR	14.7 u	17.2 u	13.8 u	14.5 u	18.2 s	20.5 s	18.1 s	20.8 bs
A,PC,F,HU	11.7 	12.1 s	13.2 s	9.1 s	8.6 s	10.6 	12.3 s	14.0 bs
A,PC,F,IE	21.1 s	20.2 s	21.5 s	21.1 bs	18.6 s	21.4 s	20.7 s	20.0 bs
A,PC,F,IS	20.5 s	23.0 s	21.9 s	17.0 s	16.9 s	19.2 s	20.9 bs	24.0 bs
A,PC,F,IT	14.2 s	14.7 s	15.4 s	16.1 s	15.1 s	15.1 s	15.7 s	16.1 bs
A,PC,F,LT	16.9 u	20.5 s	25.1 s	26.0 s	25.9 s	24.3 s	23.6 s	23.7 bs
A,PC,F,LU	11.8 s	13.7 bs	12.5 s	11.5 s	13.6 s	15.5 s	20.0 s	19.7 bs
A,PC,F,LV	25.3 s	26.6 s	26.0 s	24.9 s	19.1 s	23.7 s	22.8 s	22.6 bs
A,PC,F,ME	: u	: u	: u	29.4 u	27.6 u	: u	: u	: 
A,PC,F,MK	28.8 s	21.7 s	27.3 s	27.0 s	24.1 s	24.4 s	23.3 s	: 
A,PC,F,MT	15.2 s	17.0 s	12.3 s	10.8 s	17.7 s	10.9 s	10.7 s	25.7 bs
A,PC,F,NL	13.2 	13.9 	15.0 	16.3 	15.9 	17.3 	17.6 	17.5 b
A,PC,F,NO	16.6 s	18.8 s	17.3 s	18.7 s	22.1 s	20.6 s	19.4 s	19.2 bs
A,PC,F,PL	14.0 s	13.6 s	14.6 s	14.8 	14.0 	14.4 s	15.0 s	15.5 bs
A,PC,F,PT	15.2 s	17.6 s	17.9 s	17.6 s	17.7 s	17.8 s	21.2 s	20.7 b
A,PC,F,RO	21.5 	27.3 s	26.3 	25.7 	23.7 s	23.5 s	26.2 s	26.0 bs
A,PC,F,RS	15.0 bs	17.2 s	20.9 s	22.3 s	19.3 s	21.6 s	25.0 s	23.5 b
A,PC,F,SE	19.1 	18.9 	20.8 	20.9 	20.9 b	20.5 s	21.3 s	21.9 b
A,PC,F,SI	13.5 s	16.2 s	17.3 	16.4 s	16.6 s	19.5 s	17.2 s	16.6 bs
A,PC,F,SK	12.1 s	11.9 s	9.7 s	14.4 s	13.1 s	14.0 s	15.8 s	14.9 bs
A,PC,F,TR	14.5 bs	13.8 s	13.2 s	13.8 s	14.6 s	13.0 s	16.8 s	: 
A,PC,F,UK	16.5 s	17.2 s	16.5 s	17.6 s	17.0 s	17.1 s	: 	: 
